net,length_um
net93,5.38
_0347_,5.36
_0418_,5.34
_0467_,5.34
_0592_,5.34
_0724_,5.34
_0890_,5.34
_0895_,5.34
_0919_,5.34
net91,5.34
net94,5.34
Mux.r5\[4\],5.28
_0310_,5.28
_0585_,5.28
Mux.r6\[3\],5.26
_0297_,5.26
_0469_,5.26
_0633_,5.26
_0726_,5.26
_0918_,5.26
_0945_,5.26
net69,5.26
_0204_,5.22
_0222_,5.22
_0468_,5.22
_0618_,5.22
_0739_,5.22
_0861_,5.22
_0863_,5.22
_0901_,5.22
_0927_,5.22
_0933_,5.22
_0560_,5.19
_0173_,5.185
_0155_,5.16
_0372_,5.16
Mux.r1\[7\],5.14
_0552_,5.14
net50,5.14
net87,5.12
_0042_,5.065
_0779_,5.06
net61,5.04
Mux.r4\[3\],5.02
_0449_,5.02
Mux.r0\[12\],4.94
_0612_,4.94
Mux.r1\[1\],4.92
Mux.r5\[11\],4.92
_0207_,4.92
_0231_,4.92
_0335_,4.92
_0460_,4.92
_0635_,4.92
_0797_,4.92
_0015_,4.895
_0226_,4.88
_0461_,4.88
_0466_,4.88
_0573_,4.88
_0657_,4.88
_0924_,4.88
_0943_,4.88
_0944_,4.88
_0129_,4.845
_0172_,4.845
_0205_,4.82
_0584_,4.82
Mux.r7\[7\],4.8
_0202_,4.8
_0613_,4.8
_0781_,4.8
_0894_,4.8
_0947_,4.8
_0193_,4.76
_0194_,4.76
_0198_,4.76
_0201_,4.76
_0678_,4.76
_0684_,4.76
_0782_,4.76
_0862_,4.76
_0889_,4.76
_0912_,4.76
_0946_,4.76
_0949_,4.76
din[2],4.73
_0070_,4.725
_0423_,4.7
Mux.r0\[8\],4.68
net89,4.66
_0873_,4.6
Mux.r5\[0\],4.58
_0846_,4.56
_0727_,4.54
_0120_,4.505
_0153_,4.505
_0689_,4.5
Mux.r3\[10\],4.48
Mux.r3\[13\],4.48
_0596_,4.48
_0747_,4.48
Mux.r7\[2\],4.46
_0251_,4.46
_0458_,4.46
_0920_,4.46
_0936_,4.46
net60,4.46
net77,4.46
net84,4.46
_0143_,4.425
_0191_,4.42
_0223_,4.42
_0225_,4.42
_0227_,4.42
_0855_,4.42
_0859_,4.42
_0864_,4.42
_0870_,4.42
_0900_,4.42
_0925_,4.42
_0941_,4.42
net53,4.42
din[0],4.39
din[5],4.39
din[8],4.39
din[9],4.39
_0144_,4.385
_0885_,4.36
_0326_,4.34
_0397_,4.34
_0441_,4.34
_0711_,4.34
_0790_,4.34
_0874_,4.34
net82,4.34
_0121_,4.265
_0101_,4.24
_0369_,4.24
net47,4.24
net51,4.24
net70,4.24
net92,4.24
_0345_,4.22
_0367_,4.22
_0390_,4.22
_0147_,4.165
_0148_,4.165
Mux.r7\[1\],4.1
_0399_,4.1
_0032_,4.065
Mux.r4\[2\],4.02
Mux.r5\[8\],4.02
_0051_,4.02
_0272_,4.02
_0324_,4.02
_0609_,4.02
Mux.r2\[8\],4
_0211_,4
_0709_,4
net38,4
net78,4
_0286_,3.98
_0738_,3.98
_0006_,3.965
_0258_,3.9
_0428_,3.9
_0455_,3.9
Mux.r3\[7\],3.88
Mux.r5\[5\],3.88
_0388_,3.88
_0419_,3.88
_0447_,3.88
_0565_,3.88
_0662_,3.88
_0854_,3.88
_0382_,3.82
_0008_,3.805
_0119_,3.805
_0136_,3.805
Mux.r4\[0\],3.78
_0264_,3.78
_0294_,3.78
_0815_,3.78
net59,3.78
_0213_,3.76
_0250_,3.76
_0834_,3.76
net64,3.74
_0061_,3.705
_0116_,3.705
_0157_,3.705
Mux.r3\[3\],3.66
_0249_,3.64
_0357_,3.64
_0850_,3.64
_0084_,3.56
_0275_,3.56
_0281_,3.56
_0363_,3.56
_0375_,3.56
_0389_,3.56
_0767_,3.54
_0948_,3.54
net44,3.54
_0755_,3.52
_0806_,3.52
_0090_,3.515
_0007_,3.505
_0161_,3.505
_0887_,3.44
_0922_,3.44
_0343_,3.42
_0385_,3.42
_0396_,3.42
_0591_,3.42
_0615_,3.42
_0685_,3.42
_0722_,3.42
_0784_,3.42
_0041_,3.415
_0037_,3.405
_0055_,3.345
_0088_,3.345
_0113_,3.345
_0103_,3.34
_0410_,3.32
net62,3.32
net67,3.32
net97,3.32
_0128_,3.295
_0105_,3.225
_0843_,3.22
net45,3.22
net76,3.22
_0030_,3.175
_0010_,3.145
_0556_,3.1
_0646_,3.1
_0828_,3.1
_0536_,3.08
_0698_,3.08
_0699_,3.08
_0759_,3.08
_0827_,3.08
_0857_,3.08
_0891_,3.08
_0076_,3.005
_0189_,2.98
_0514_,2.98
_0737_,2.98
_0939_,2.98
_0192_,2.96
_0199_,2.96
_0313_,2.96
_0508_,2.96
_0533_,2.96
_0749_,2.96
_0762_,2.96
_0822_,2.96
_0856_,2.96
_0878_,2.96
_0908_,2.96
_0921_,2.96
_0938_,2.96
_0062_,2.945
_0074_,2.885
_0107_,2.885
_0059_,2.88
_0077_,2.88
_0156_,2.86
_0829_,2.86
net49,2.86
net54,2.86
Mux.r2\[4\],2.84
_0083_,2.835
_0150_,2.785
_0174_,2.785
_0280_,2.76
_0365_,2.76
_0431_,2.76
net99,2.76
_0068_,2.715
_0069_,2.715
_0085_,2.715
_0095_,2.715
_0109_,2.715
_0118_,2.715
_0163_,2.715
_0171_,2.715
_0036_,2.705
_0087_,2.705
_0256_,2.64
_0287_,2.64
_0317_,2.64
_0398_,2.64
_0787_,2.64
_0233_,2.62
_0430_,2.62
_0434_,2.62
_0436_,2.62
_0486_,2.62
_0690_,2.62
_0702_,2.62
_0742_,2.62
_0753_,2.62
_0883_,2.62
_0892_,2.62
_0056_,2.595
_0104_,2.595
_0110_,2.595
_0162_,2.585
_0495_,2.55
_0047_,2.545
_0050_,2.545
_0053_,2.545
_0054_,2.545
_0067_,2.545
_0073_,2.545
_0081_,2.545
_0100_,2.545
_0106_,2.545
_0114_,2.545
_0164_,2.545
_0165_,2.545
_0040_,2.52
_0206_,2.52
_0373_,2.52
_0408_,2.52
_0475_,2.52
_0491_,2.52
_0519_,2.52
_0537_,2.52
_0582_,2.52
_0619_,2.52
_0725_,2.52
_0756_,2.52
_0896_,2.52
_0955_,2.52
_0208_,2.5
_0302_,2.5
_0305_,2.5
_0307_,2.5
_0384_,2.5
_0438_,2.5
_0482_,2.5
_0569_,2.5
_0572_,2.5
_0600_,2.5
_0663_,2.5
_0683_,2.5
_0703_,2.5
_0731_,2.5
_0774_,2.5
_0024_,2.485
_0071_,2.485
_0112_,2.485
_0001_,2.42
_0019_,2.42
_0038_,2.42
_0169_,2.42
_0178_,2.42
_0359_,2.4
_0253_,2.38
_0033_,2.375
_0065_,2.375
_0102_,2.375
_0130_,2.375
_0135_,2.375
_0166_,2.375
_0175_,2.375
_0000_,2.325
_0011_,2.325
_0013_,2.325
_0126_,2.325
_0141_,2.325
_0309_,2.3
_0785_,2.3
net40,2.3
net81,2.3
_0009_,2.255
_0131_,2.255
_0177_,2.255
_0268_,2.18
_0327_,2.18
_0330_,2.18
_0414_,2.18
_0437_,2.18
_0493_,2.18
_0593_,2.18
_0655_,2.18
_0686_,2.18
_0793_,2.18
Control_unit_module.IR\[5\],2.16
_0220_,2.16
_0488_,2.16
_0523_,2.16
_0608_,2.16
_0634_,2.16
_0706_,2.16
_0811_,2.16
_0886_,2.16
_0960_,2.16
_0017_,2.125
_0027_,2.125
_0079_,2.125
_0029_,2.085
_0034_,2.085
_0044_,2.085
_0094_,2.085
_0096_,2.085
_0098_,2.085
_0154_,2.085
_0168_,2.085
_0057_,2.06
_0190_,2.06
_0462_,2.06
_0496_,2.06
_0528_,2.06
_0553_,2.06
_0571_,2.06
_0598_,2.06
_0679_,2.06
_0743_,2.06
_0853_,2.06
_0940_,2.06
_0942_,2.06
_0254_,2.04
_0269_,2.04
_0325_,2.04
_0579_,2.04
_0620_,2.04
_0647_,2.04
_0667_,2.04
_0712_,2.04
_0003_,2.025
_0004_,2.025
_0005_,2.025
_0039_,2.025
_0048_,2.025
_0052_,2.025
_0072_,2.025
_0075_,2.025
_0086_,2.025
_0089_,2.025
_0091_,2.025
_0093_,2.025
_0111_,2.025
_0123_,2.025
_0138_,2.025
_0167_,2.025
net55,1.94
net86,1.94
_0064_,1.915
_0066_,1.915
_0080_,1.915
_0082_,1.915
_0099_,1.915
_0146_,1.915
_0014_,1.865
_0018_,1.865
_0020_,1.865
_0025_,1.865
_0035_,1.865
_0045_,1.865
_0046_,1.865
_0058_,1.865
_0063_,1.865
_0108_,1.865
_0132_,1.865
_0137_,1.865
_0379_,1.84
net46,1.84
net52,1.84
net71,1.84
net74,1.84
net79,1.84
net95,1.84
_0328_,1.82
_0331_,1.82
ALU_16bit.aluout\[10\],1.72
_0304_,1.72
_0405_,1.72
_0510_,1.72
_0641_,1.72
_0730_,1.72
_0181_,1.7
_0183_,1.7
_0185_,1.7
